Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout_TestSuite,Firefox 151.0.1,,,26-05-2026 14:42:57,26-05-2026 14:46:34,3m - 37.242s,PASSED
,,,,,,,
Test Cases/WEB/Checkout/Checkout without payment,Firefox 151.0.1,,,26-05-2026 14:42:57,26-05-2026 14:44:03,1m - 5.698s,PASSED
"openBrowser("""")",Firefox 151.0.1,,,26-05-2026 14:42:58,26-05-2026 14:43:03,5.056s,PASSED
navigateToUrl(URL),Firefox 151.0.1,,,26-05-2026 14:43:03,26-05-2026 14:43:05,2.564s,PASSED
maximizeWindow(),Firefox 151.0.1,,,26-05-2026 14:43:05,26-05-2026 14:43:05,0.039s,PASSED
"verifyElementVisible(findTestObject(""Home Page/header_digibox""))",Firefox 151.0.1,,,26-05-2026 14:43:05,26-05-2026 14:43:06,0.647s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Firefox 151.0.1,,,26-05-2026 14:43:06,26-05-2026 14:43:06,0.369s,PASSED
"setText(findTestObject(""Registration/field-account""), ""agungpriyadi"")",Firefox 151.0.1,,,26-05-2026 14:43:06,26-05-2026 14:43:17,10.289s,PASSED
"setText(findTestObject(""Registration/field-Password""), ""Laskar123456"")",Firefox 151.0.1,,,26-05-2026 14:43:17,26-05-2026 14:43:17,0.752s,PASSED
"click(findTestObject(""Login/btn-sign in""))",Firefox 151.0.1,,,26-05-2026 14:43:17,26-05-2026 14:43:18,0.798s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Firefox 151.0.1,,,26-05-2026 14:43:18,26-05-2026 14:43:19,0.584s,PASSED
"verifyElementVisible(findTestObject(""Home Page/verify-succes-acount-login""))",Firefox 151.0.1,,,26-05-2026 14:43:19,26-05-2026 14:43:20,1.764s,PASSED
"click(findTestObject(""Home Page/Search/icon-search""))",Firefox 151.0.1,,,26-05-2026 14:43:20,26-05-2026 14:43:22,1.274s,PASSED
"sendKeys(findTestObject(""Home Page/Search/field-search""), Keys.chord(""IPHONE 12 PRO MAX 128GB GOLD"", ENTER))",Firefox 151.0.1,,,26-05-2026 14:43:22,26-05-2026 14:43:23,1.086s,PASSED
"verifyElementVisible(findTestObject(""Home Page/Search/verify-product-iphone-12 -pro""))",Firefox 151.0.1,,,26-05-2026 14:43:23,26-05-2026 14:43:26,3.116s,PASSED
"click(findTestObject(""Product and Cart/Add to cart/btn-product - IPHONE 12 PRO MAX 128GB GOLD""))",Firefox 151.0.1,,,26-05-2026 14:43:26,26-05-2026 14:43:27,0.995s,PASSED
"click(findTestObject(""Product and Cart/Add to cart/button_Add to Cart""))",Firefox 151.0.1,,,26-05-2026 14:43:27,26-05-2026 14:43:30,2.682s,PASSED
