Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ProductCart_TestSuite,Chrome 148.0.7778.179,,,26-05-2026 15:41:49,26-05-2026 15:42:35,46.109s,PASSED
,,,,,,,
Test Cases/WEB/Product and Cart/Ensure user can add - update - remove product to shopping cart,Chrome 148.0.7778.179,,,26-05-2026 15:41:50,26-05-2026 15:42:35,45.906s,PASSED
openBrowser(URL),Chrome 148.0.7778.179,,,26-05-2026 15:41:50,26-05-2026 15:41:55,4.875s,PASSED
"verifyElementVisible(findTestObject(""Home Page/header_digibox""))",Chrome 148.0.7778.179,,,26-05-2026 15:41:55,26-05-2026 15:41:55,0.353s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,26-05-2026 15:41:55,26-05-2026 15:41:56,0.671s,PASSED
"setText(findTestObject(""Registration/field-account""), ""agungpriyadi"")",Chrome 148.0.7778.179,,,26-05-2026 15:41:56,26-05-2026 15:41:57,1.093s,PASSED
"setText(findTestObject(""Registration/field-Password""), ""Laskar123456"")",Chrome 148.0.7778.179,,,26-05-2026 15:41:57,26-05-2026 15:41:58,0.832s,PASSED
"click(findTestObject(""Login/btn-sign in""))",Chrome 148.0.7778.179,,,26-05-2026 15:41:58,26-05-2026 15:41:58,0.517s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,26-05-2026 15:41:58,26-05-2026 15:41:59,0.510s,PASSED
"verifyElementVisible(findTestObject(""Home Page/verify-succes-acount-login""))",Chrome 148.0.7778.179,,,26-05-2026 15:41:59,26-05-2026 15:42:02,2.903s,PASSED
"click(findTestObject(""Home Page/Search/icon-search""))",Chrome 148.0.7778.179,,,26-05-2026 15:42:02,26-05-2026 15:42:02,0.294s,PASSED
"click(findTestObject(""Home Page/Search/field-search""))",Chrome 148.0.7778.179,,,26-05-2026 15:42:02,26-05-2026 15:42:02,0.302s,PASSED
"sendKeys(findTestObject(""Home Page/Search/field-search""), Keys.chord(""IPHONE 11 PRO 128 GB DEEP PURPLE"", ENTER))",Chrome 148.0.7778.179,,,26-05-2026 15:42:02,26-05-2026 15:42:03,0.334s,PASSED
"verifyElementVisible(findTestObject(""Home Page/Search/verify-product-iphone-11-pro""))",Chrome 148.0.7778.179,,,26-05-2026 15:42:03,26-05-2026 15:42:06,2.923s,PASSED
"click(findTestObject(""Product and Cart/Add to cart/btn-product""))",Chrome 148.0.7778.179,,,26-05-2026 15:42:06,26-05-2026 15:42:27,21.891s,PASSED
"click(findTestObject(""Product and Cart/Add to cart/button_Add to Cart""))",Chrome 148.0.7778.179,,,26-05-2026 15:42:27,26-05-2026 15:42:30,2.446s,PASSED
"click(findTestObject(""Product and Cart/Add to cart/i_icon-cart""))",Chrome 148.0.7778.179,,,26-05-2026 15:42:30,26-05-2026 15:42:30,0.536s,PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,26-05-2026 15:42:30,26-05-2026 15:42:31,0.520s,PASSED
"click(findTestObject(""Product and Cart/Add to cart/btn-trash""))",Chrome 148.0.7778.179,,,26-05-2026 15:42:31,26-05-2026 15:42:32,0.926s,PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,26-05-2026 15:42:32,26-05-2026 15:42:32,0.482s,PASSED
"click(findTestObject(""Product and Cart/Add to cart/btn-confrim-yes""))",Chrome 148.0.7778.179,,,26-05-2026 15:42:32,26-05-2026 15:42:33,0.295s,PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,26-05-2026 15:42:33,26-05-2026 15:42:33,0.314s,PASSED
closeBrowser(),Chrome 148.0.7778.179,,,26-05-2026 15:42:33,26-05-2026 15:42:33,0.441s,PASSED
Video,Chrome 148.0.7778.179,,,26-05-2026 15:42:35,26-05-2026 15:42:35,0.001s,PASSED
