Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Address_TestSuite,Chrome 148.0.7778.179,,,29-05-2026 10:37:37,29-05-2026 10:49:47,12m - 10.325s,PASSED
,,,,,,,
Test Cases/WEB/Address Management/Ensure My Address - add new address,Chrome 148.0.7778.179,,,29-05-2026 10:37:37,29-05-2026 10:38:05,27.602s,PASSED
randomFirstName = custom.RandomData.generateRandomFirstName(),Chrome 148.0.7778.179,,,29-05-2026 10:37:38,29-05-2026 10:37:38,0.046s,PASSED
randomEmail = custom.RandomData.generateRandomEmail(),Chrome 148.0.7778.179,,,29-05-2026 10:37:38,29-05-2026 10:37:38,0.047s,PASSED
randomLastName = custom.RandomData.generateRandomLastName(),Chrome 148.0.7778.179,,,29-05-2026 10:37:38,29-05-2026 10:37:38,0.006s,PASSED
randomPhone = custom.RandomData.generateRandomPhone(),Chrome 148.0.7778.179,,,29-05-2026 10:37:38,29-05-2026 10:37:38,0.011s,PASSED
randomAddress = custom.RandomData.generateRandomAddress(),Chrome 148.0.7778.179,,,29-05-2026 10:37:38,29-05-2026 10:37:38,0.005s,PASSED
randomCode = custom.RandomData.generateRandomCode(),Chrome 148.0.7778.179,,,29-05-2026 10:37:38,29-05-2026 10:37:38,0.004s,PASSED
openBrowser(URL),Chrome 148.0.7778.179,,,29-05-2026 10:37:38,29-05-2026 10:37:41,3.742s,PASSED
"verifyElementVisible(findTestObject(""Home Page/header_digibox""))",Chrome 148.0.7778.179,,,29-05-2026 10:37:41,29-05-2026 10:37:42,0.334s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,29-05-2026 10:37:42,29-05-2026 10:37:42,0.365s,PASSED
"setText(findTestObject(""Registration/field-account""), ""agungpriyadi"")",Chrome 148.0.7778.179,,,29-05-2026 10:37:42,29-05-2026 10:37:43,1.069s,PASSED
"setText(findTestObject(""Registration/field-Password""), ""Laskar123456"")",Chrome 148.0.7778.179,,,29-05-2026 10:37:43,29-05-2026 10:37:44,0.846s,PASSED
"click(findTestObject(""Login/btn-sign in""))",Chrome 148.0.7778.179,,,29-05-2026 10:37:44,29-05-2026 10:37:45,0.558s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,29-05-2026 10:37:45,29-05-2026 10:37:45,0.510s,PASSED
"click(findTestObject(""Address Management/Shipping Address/btn_My Address""))",Chrome 148.0.7778.179,,,29-05-2026 10:37:45,29-05-2026 10:37:48,3.067s,PASSED
"click(findTestObject(""Address Management/Add New Address/div_Add New Address""))",Chrome 148.0.7778.179,,,29-05-2026 10:37:48,29-05-2026 10:37:49,0.907s,PASSED
"waitForElementVisible(findTestObject(""Address Management/Add New Address/field_First Name""), 0)",Chrome 148.0.7778.179,,,29-05-2026 10:37:49,29-05-2026 10:37:50,0.745s,PASSED
"setText(findTestObject(""Address Management/Add New Address/field_First Name""), randomFirstName)",Chrome 148.0.7778.179,,,29-05-2026 10:37:50,29-05-2026 10:37:51,1.033s,PASSED
