Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_TestSuite,Chrome 148.0.7778.179,,,02-06-2026 17:49:15,02-06-2026 17:50:12,56.791s,PASSED
,,,,,,,
Test Cases/WEB/Login/Login with data Invalid Account,Chrome 148.0.7778.179,,,02-06-2026 17:49:15,02-06-2026 17:49:31,15.572s,PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,02-06-2026 17:49:16,02-06-2026 17:49:20,3.699s,PASSED
"setViewPortSize(1920, 1080)",Chrome 148.0.7778.179,,,02-06-2026 17:49:20,02-06-2026 17:49:20,0.125s,PASSED
enableSmartWait(),Chrome 148.0.7778.179,,,02-06-2026 17:49:20,02-06-2026 17:49:20,0.019s,PASSED
navigateToUrl(URL),Chrome 148.0.7778.179,,,02-06-2026 17:49:20,02-06-2026 17:49:22,2.261s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Chrome 148.0.7778.179,,,02-06-2026 17:49:22,02-06-2026 17:49:22,0.130s,PASSED
waitForPageLoad(30),Chrome 148.0.7778.179,,,02-06-2026 17:49:22,02-06-2026 17:49:22,0.142s,PASSED
"waitForElementVisible(findTestObject(""Home Page/header_digibox""), 30)",Chrome 148.0.7778.179,,,02-06-2026 17:49:22,02-06-2026 17:49:23,0.823s,PASSED
"verifyElementVisible(findTestObject(""Home Page/header_digibox""))",Chrome 148.0.7778.179,,,02-06-2026 17:49:23,02-06-2026 17:49:23,0.272s,PASSED
"waitForElementClickable(findTestObject(""Registration/icon-acount""), 30)",Chrome 148.0.7778.179,,,02-06-2026 17:49:23,02-06-2026 17:49:24,0.334s,PASSED
"enhancedClick(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,02-06-2026 17:49:24,02-06-2026 17:49:24,0.334s,PASSED
"waitForElementVisible(findTestObject(""Registration/field-account""), 30)",Chrome 148.0.7778.179,,,02-06-2026 17:49:24,02-06-2026 17:49:25,0.738s,PASSED
"setText(findTestObject(""Registration/field-account""), ""agungpriyadi99982"")",Chrome 148.0.7778.179,,,02-06-2026 17:49:25,02-06-2026 17:49:26,0.707s,PASSED
"setText(findTestObject(""Registration/field-Password""), ""Laskar123456"")",Chrome 148.0.7778.179,,,02-06-2026 17:49:26,02-06-2026 17:49:26,0.917s,PASSED
"waitForElementClickable(findTestObject(""Login/btn-sign in""), 30)",Chrome 148.0.7778.179,,,02-06-2026 17:49:26,02-06-2026 17:49:27,0.486s,PASSED
"enhancedClick(findTestObject(""Login/btn-sign in""))",Chrome 148.0.7778.179,,,02-06-2026 17:49:27,02-06-2026 17:49:27,0.292s,PASSED
loginError = new com.kms.katalon.core.testobject.TestObject(),Chrome 148.0.7778.179,,,02-06-2026 17:49:27,02-06-2026 17:49:27,0.003s,PASSED
"loginError.addProperty(""xpath"", EQUALS, ""//div[@role='alert']//p[contains(text(),'Account or password is not correct')]"")",Chrome 148.0.7778.179,,,02-06-2026 17:49:27,02-06-2026 17:49:27,0.007s,PASSED
"isVisible = waitForElementVisible(loginError, 15, OPTIONAL)",Chrome 148.0.7778.179,,,02-06-2026 17:49:27,02-06-2026 17:49:28,0.681s,PASSED
"comment(""Error Message Visible : "" + isVisible)",Chrome 148.0.7778.179,,,02-06-2026 17:49:28,02-06-2026 17:49:28,0.020s,PASSED
"verifyEqual(isVisible, true)",Chrome 148.0.7778.179,,,02-06-2026 17:49:28,02-06-2026 17:49:28,0.013s,PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,02-06-2026 17:49:28,02-06-2026 17:49:28,0.345s,PASSED
closeBrowser(),Chrome 148.0.7778.179,,,02-06-2026 17:49:28,02-06-2026 17:49:29,0.518s,PASSED
Start listener action : afterTestCase,Chrome 148.0.7778.179,,,02-06-2026 17:49:29,02-06-2026 17:49:29,0.108s,ERROR
,,,,,,,
Test Cases/WEB/Login/Login with data Invalid Password,Chrome 148.0.7778.179,,,02-06-2026 17:49:31,02-06-2026 17:49:43,11.489s,PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,02-06-2026 17:49:31,02-06-2026 17:49:32,1.364s,PASSED
"setViewPortSize(1920, 1080)",Chrome 148.0.7778.179,,,02-06-2026 17:49:32,02-06-2026 17:49:33,0.121s,PASSED
enableSmartWait(),Chrome 148.0.7778.179,,,02-06-2026 17:49:33,02-06-2026 17:49:33,0.005s,PASSED
navigateToUrl(URL),Chrome 148.0.7778.179,,,02-06-2026 17:49:33,02-06-2026 17:49:34,1.882s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Chrome 148.0.7778.179,,,02-06-2026 17:49:34,02-06-2026 17:49:35,0.078s,PASSED
waitForPageLoad(30),Chrome 148.0.7778.179,,,02-06-2026 17:49:35,02-06-2026 17:49:35,0.027s,PASSED
"waitForElementVisible(findTestObject(""Home Page/header_digibox""), 30)",Chrome 148.0.7778.179,,,02-06-2026 17:49:35,02-06-2026 17:49:35,0.299s,PASSED
"verifyElementVisible(findTestObject(""Home Page/header_digibox""))",Chrome 148.0.7778.179,,,02-06-2026 17:49:35,02-06-2026 17:49:35,0.507s,PASSED
"waitForElementClickable(findTestObject(""Registration/icon-acount""), 30)",Chrome 148.0.7778.179,,,02-06-2026 17:49:35,02-06-2026 17:49:36,0.286s,PASSED
"enhancedClick(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,02-06-2026 17:49:36,02-06-2026 17:49:36,0.308s,PASSED
"waitForElementVisible(findTestObject(""Registration/field-account""), 30)",Chrome 148.0.7778.179,,,02-06-2026 17:49:36,02-06-2026 17:49:37,0.698s,PASSED
"setText(findTestObject(""Registration/field-account""), ""agungpriyadi"")",Chrome 148.0.7778.179,,,02-06-2026 17:49:37,02-06-2026 17:49:37,0.669s,PASSED
"setText(findTestObject(""Registration/field-Password""), ""Laskar1234568"")",Chrome 148.0.7778.179,,,02-06-2026 17:49:37,02-06-2026 17:49:38,0.834s,PASSED
"waitForElementClickable(findTestObject(""Login/btn-sign in""), 30)",Chrome 148.0.7778.179,,,02-06-2026 17:49:38,02-06-2026 17:49:39,0.489s,PASSED
"enhancedClick(findTestObject(""Login/btn-sign in""))",Chrome 148.0.7778.179,,,02-06-2026 17:49:39,02-06-2026 17:49:39,0.282s,PASSED
loginError = new com.kms.katalon.core.testobject.TestObject(),Chrome 148.0.7778.179,,,02-06-2026 17:49:39,02-06-2026 17:49:39,0.002s,PASSED
"loginError.addProperty(""xpath"", EQUALS, ""//div[@role='alert']//p[contains(text(),'Account or password is not correct')]"")",Chrome 148.0.7778.179,,,02-06-2026 17:49:39,02-06-2026 17:49:39,0.002s,PASSED
"isVisible = waitForElementVisible(loginError, 15, OPTIONAL)",Chrome 148.0.7778.179,,,02-06-2026 17:49:39,02-06-2026 17:49:40,0.668s,PASSED
"comment(""Error Message Visible : "" + isVisible)",Chrome 148.0.7778.179,,,02-06-2026 17:49:40,02-06-2026 17:49:40,0.004s,PASSED
"verifyEqual(isVisible, true)",Chrome 148.0.7778.179,,,02-06-2026 17:49:40,02-06-2026 17:49:40,0.003s,PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,02-06-2026 17:49:40,02-06-2026 17:49:40,0.307s,PASSED
closeBrowser(),Chrome 148.0.7778.179,,,02-06-2026 17:49:40,02-06-2026 17:49:40,0.461s,PASSED
Start listener action : afterTestCase,Chrome 148.0.7778.179,,,02-06-2026 17:49:40,02-06-2026 17:49:40,0.021s,ERROR
,,,,,,,
Test Cases/WEB/Login/Login with data valid,Chrome 148.0.7778.179,,,02-06-2026 17:49:43,02-06-2026 17:50:00,17.534s,PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,02-06-2026 17:49:43,02-06-2026 17:49:44,1.506s,PASSED
"setViewPortSize(1920, 1080)",Chrome 148.0.7778.179,,,02-06-2026 17:49:44,02-06-2026 17:49:44,0.118s,PASSED
enableSmartWait(),Chrome 148.0.7778.179,,,02-06-2026 17:49:44,02-06-2026 17:49:44,0.004s,PASSED
navigateToUrl(URL),Chrome 148.0.7778.179,,,02-06-2026 17:49:44,02-06-2026 17:49:46,2.022s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Chrome 148.0.7778.179,,,02-06-2026 17:49:46,02-06-2026 17:49:46,0.069s,PASSED
waitForPageLoad(30),Chrome 148.0.7778.179,,,02-06-2026 17:49:46,02-06-2026 17:49:46,0.023s,PASSED
"waitForElementVisible(findTestObject(""Home Page/header_digibox""), 30)",Chrome 148.0.7778.179,,,02-06-2026 17:49:46,02-06-2026 17:49:47,0.297s,PASSED
"verifyElementVisible(findTestObject(""Home Page/header_digibox""))",Chrome 148.0.7778.179,,,02-06-2026 17:49:47,02-06-2026 17:49:47,0.487s,PASSED
"waitForElementClickable(findTestObject(""Registration/icon-acount""), 30)",Chrome 148.0.7778.179,,,02-06-2026 17:49:47,02-06-2026 17:49:47,0.281s,PASSED
"enhancedClick(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,02-06-2026 17:49:47,02-06-2026 17:49:48,0.332s,PASSED
"waitForElementVisible(findTestObject(""Registration/field-account""), 30)",Chrome 148.0.7778.179,,,02-06-2026 17:49:48,02-06-2026 17:49:48,0.692s,PASSED
"setText(findTestObject(""Registration/field-account""), ""agungpriyadi"")",Chrome 148.0.7778.179,,,02-06-2026 17:49:48,02-06-2026 17:49:49,0.645s,PASSED
"setText(findTestObject(""Registration/field-Password""), ""Laskar123456"")",Chrome 148.0.7778.179,,,02-06-2026 17:49:49,02-06-2026 17:49:50,0.862s,PASSED
"waitForElementClickable(findTestObject(""Login/btn-sign in""), 30)",Chrome 148.0.7778.179,,,02-06-2026 17:49:50,02-06-2026 17:49:50,0.490s,PASSED
"enhancedClick(findTestObject(""Login/btn-sign in""))",Chrome 148.0.7778.179,,,02-06-2026 17:49:50,02-06-2026 17:49:51,0.282s,PASSED
waitForPageLoad(30),Chrome 148.0.7778.179,,,02-06-2026 17:49:51,02-06-2026 17:49:51,0.008s,PASSED
delay(5),Chrome 148.0.7778.179,,,02-06-2026 17:49:51,02-06-2026 17:49:56,5.013s,PASSED
"waitForElementClickable(findTestObject(""Registration/icon-acount""), 30)",Chrome 148.0.7778.179,,,02-06-2026 17:49:56,02-06-2026 17:49:56,0.276s,PASSED
"enhancedClick(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,02-06-2026 17:49:56,02-06-2026 17:49:56,0.281s,PASSED
"waitForElementVisible(findTestObject(""Home Page/verify-succes-acount-login""), 30)",Chrome 148.0.7778.179,,,02-06-2026 17:49:56,02-06-2026 17:49:57,0.753s,PASSED
"verifyElementVisible(findTestObject(""Home Page/verify-succes-acount-login""))",Chrome 148.0.7778.179,,,02-06-2026 17:49:57,02-06-2026 17:49:57,0.237s,PASSED
"comment(""Login success verified"")",Chrome 148.0.7778.179,,,02-06-2026 17:49:57,02-06-2026 17:49:57,0.003s,PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,02-06-2026 17:49:57,02-06-2026 17:49:58,0.381s,PASSED
closeBrowser(),Chrome 148.0.7778.179,,,02-06-2026 17:49:58,02-06-2026 17:49:58,0.308s,PASSED
Start listener action : afterTestCase,Chrome 148.0.7778.179,,,02-06-2026 17:49:58,02-06-2026 17:49:58,0.021s,ERROR
,,,,,,,
Test Cases/WEB/Login/Login with Empty Field Validation,Chrome 148.0.7778.179,,,02-06-2026 17:50:00,02-06-2026 17:50:12,11.915s,PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,02-06-2026 17:50:00,02-06-2026 17:50:01,1.272s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Chrome 148.0.7778.179,,,02-06-2026 17:50:01,02-06-2026 17:50:01,0.096s,PASSED
"setViewPortSize(1920, 1080)",Chrome 148.0.7778.179,,,02-06-2026 17:50:01,02-06-2026 17:50:02,0.043s,PASSED
navigateToUrl(URL),Chrome 148.0.7778.179,,,02-06-2026 17:50:02,02-06-2026 17:50:03,1.694s,PASSED
"waitForElementVisible(findTestObject(""Home Page/header_digibox""), 15)",Chrome 148.0.7778.179,,,02-06-2026 17:50:03,02-06-2026 17:50:04,0.505s,PASSED
"verifyElementVisible(findTestObject(""Home Page/header_digibox""))",Chrome 148.0.7778.179,,,02-06-2026 17:50:04,02-06-2026 17:50:04,0.567s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,02-06-2026 17:50:04,02-06-2026 17:50:05,0.352s,PASSED
"setText(findTestObject(""Registration/field-account""), """")",Chrome 148.0.7778.179,,,02-06-2026 17:50:05,02-06-2026 17:50:06,1.034s,PASSED
"setText(findTestObject(""Registration/field-Password""), """")",Chrome 148.0.7778.179,,,02-06-2026 17:50:06,02-06-2026 17:50:06,0.612s,PASSED
"click(findTestObject(""Login/btn-sign in""))",Chrome 148.0.7778.179,,,02-06-2026 17:50:06,02-06-2026 17:50:07,0.536s,PASSED
delay(2),Chrome 148.0.7778.179,,,02-06-2026 17:50:07,02-06-2026 17:50:09,2.020s,PASSED
"verifyElementVisible(findTestObject(""Login/btn-sign in""), STOP_ON_FAILURE)",Chrome 148.0.7778.179,,,02-06-2026 17:50:09,02-06-2026 17:50:09,0.232s,PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,02-06-2026 17:50:09,02-06-2026 17:50:09,0.292s,PASSED
"comment(""Login validation with empty username and password executed"")",Chrome 148.0.7778.179,,,02-06-2026 17:50:09,02-06-2026 17:50:09,0.002s,PASSED
closeBrowser(),Chrome 148.0.7778.179,,,02-06-2026 17:50:09,02-06-2026 17:50:10,0.471s,PASSED
Start listener action : afterTestCase,Chrome 148.0.7778.179,,,02-06-2026 17:50:10,02-06-2026 17:50:10,0.016s,ERROR
