Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HomePage_TestSuite,Firefox 151.0.1,,,18-06-2026 09:45:52,18-06-2026 09:48:39,2m - 46.143s,PASSED
,,,,,,,
Test Cases/WEB/Home Page/Home - Ensure Menu Login with data akun and password not valid,Firefox 151.0.1,,,18-06-2026 09:45:53,18-06-2026 09:46:24,30.730s,PASSED
"openBrowser("""")",Firefox 151.0.1,,,18-06-2026 09:45:55,18-06-2026 09:46:04,8.995s,PASSED
"setViewPortSize(1920, 1080)",Firefox 151.0.1,,,18-06-2026 09:46:04,18-06-2026 09:46:04,0.612s,PASSED
enableSmartWait(),Firefox 151.0.1,,,18-06-2026 09:46:04,18-06-2026 09:46:04,0.092s,PASSED
navigateToUrl(URL),Firefox 151.0.1,,,18-06-2026 09:46:04,18-06-2026 09:46:10,5.266s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Firefox 151.0.1,,,18-06-2026 09:46:10,18-06-2026 09:46:10,0.500s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,18-06-2026 09:46:10,18-06-2026 09:46:11,0.582s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/header_digibox""), 30)",Firefox 151.0.1,,,18-06-2026 09:46:11,18-06-2026 09:46:12,0.799s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/header_digibox""))",Firefox 151.0.1,,,18-06-2026 09:46:12,18-06-2026 09:46:12,0.427s,PASSED
"waitForElementClickable(findTestObject(""WEB/Registration/icon-acount""), 30)",Firefox 151.0.1,,,18-06-2026 09:46:12,18-06-2026 09:46:12,0.502s,PASSED
"enhancedClick(findTestObject(""WEB/Registration/icon-acount""))",Firefox 151.0.1,,,18-06-2026 09:46:12,18-06-2026 09:46:13,0.600s,PASSED
"waitForElementVisible(findTestObject(""WEB/Registration/field-account""), 30)",Firefox 151.0.1,,,18-06-2026 09:46:13,18-06-2026 09:46:14,0.902s,PASSED
"setText(findTestObject(""WEB/Registration/field-account""), ""agungpriyadi2"")",Firefox 151.0.1,,,18-06-2026 09:46:14,18-06-2026 09:46:15,1.090s,PASSED
"setText(findTestObject(""WEB/Registration/field-Password""), ""Laskar1234560"")",Firefox 151.0.1,,,18-06-2026 09:46:15,18-06-2026 09:46:16,1.080s,PASSED
