Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Registration_TestSuite,Firefox 151.0.1,,,07-07-2026 09:40:54,07-07-2026 09:42:11,1m - 16.497s,PASSED
,,,,,,,
Test Cases/WEB/Registration/Register with duplicate Account,Firefox 151.0.1,,,07-07-2026 09:40:54,07-07-2026 09:41:13,18.623s,PASSED
"openBrowser("""")",Firefox 151.0.1,,,07-07-2026 09:40:55,07-07-2026 09:40:59,3.811s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Firefox 151.0.1,,,07-07-2026 09:40:59,07-07-2026 09:40:59,0.412s,PASSED
navigateToUrl(URL),Firefox 151.0.1,,,07-07-2026 09:40:59,07-07-2026 09:41:02,2.635s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/header_digibox""))",Firefox 151.0.1,,,07-07-2026 09:41:02,07-07-2026 09:41:02,0.360s,PASSED
"click(findTestObject(""WEB/Registration/icon-acount""))",Firefox 151.0.1,,,07-07-2026 09:41:02,07-07-2026 09:41:02,0.378s,PASSED
custom.BrowserHelper.closeFirefoxPopup(),Firefox 151.0.1,,,07-07-2026 09:41:02,07-07-2026 09:41:05,2.335s,PASSED
"click(findTestObject(""WEB/Registration/btn-create-new-account""))",Firefox 151.0.1,,,07-07-2026 09:41:05,07-07-2026 09:41:05,0.316s,PASSED
"setText(findTestObject(""WEB/Registration/field-Email""), ""agungpriyadi@gmail.com"")",Firefox 151.0.1,,,07-07-2026 09:41:05,07-07-2026 09:41:06,0.759s,PASSED
"setText(findTestObject(""WEB/Registration/field-account""), ""agungpriyadi"")",Firefox 151.0.1,,,07-07-2026 09:41:06,07-07-2026 09:41:07,0.719s,PASSED
"setText(findTestObject(""WEB/Registration/field-Password""), ""Laskar123456"")",Firefox 151.0.1,,,07-07-2026 09:41:07,07-07-2026 09:41:07,0.715s,PASSED
"click(findTestObject(""WEB/Registration/btn-sign-up""))",Firefox 151.0.1,,,07-07-2026 09:41:07,07-07-2026 09:41:08,0.526s,PASSED
delay(2),Firefox 151.0.1,,,07-07-2026 09:41:08,07-07-2026 09:41:10,2.031s,PASSED
